Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.8
"Nutrients: Fluoride, F (µg)"
Food Subset:All Foods
Ordered by:Food Name
Measured by:Household
Report Run at: 03-19-2016T20:59
NDB_NO,Description,Weight(g),Measure,"Fluoride, F"(µg)Per Measure,
"""03956""","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",31.0,"1.0 oz",3.2,,
"""03965""","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",16.0,"1.0 tbsp",1.5,,
"""18968""","Bagels, wheat",98.0,"1.0 bagel",23.6,,
"""09040""","Bananas, raw",225.0,"1.0 cup, mashed",5.0,,
"""16009""","Beans, baked, canned, with pork",253.0,"1.0 cup",136.6,,
"""16032""","Beans, kidney, red, mature seeds, raw",184.0,"1.0 cup",4.0,,
"""16038""","Beans, navy, mature seeds, cooked, boiled, without salt",182.0,"1.0 cup",4.0,,
"""16043""","Beans, pinto, mature seeds, cooked, boiled, without salt",171.0,"1.0 cup",3.8,,
"""11052""","Beans, snap, green, raw",100.0,"1.0 cup 1/2"" pieces",19.0,,
"""22905""","Beef stew, canned entree",196.0,"1.0 cup (1 serving)",110.7,,
"""13055""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",85.0,"3.0 oz",19.0,,
"""13367""","Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",19.0,,
"""13001""","Beef, carcass, separable lean and fat, choice, raw",28.35,"1.0 oz",6.4,,
"""13002""","Beef, carcass, separable lean and fat, select, raw",28.35,"1.0 oz",6.4,,
"""13810""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",19.0,,
"""13812""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",85.0,"3.0 oz",19.0,,
"""13814""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",85.0,"3.0 oz",19.0,,
"""13816""","Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",19.0,,
"""23494""","Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, raw",114.0,"4.0 oz",0.3,,
"""13796""","Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked",85.0,"3.0 oz",19.0,,
"""13350""","Beef, cured, dried",28.0,"10.0 slices",2.4,,
"""13355""","Beef, cured, pastrami",71.0,"1.0 package, 2.5 oz",14.4,,
"""13065""","Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",28.35,"1.0 oz",6.4,,
"""23570""","Beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",85.0,"3.0 oz",19.0,,
"""23571""","Beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",85.0,"3.0 oz",19.0,,
"""23568""","Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",85.0,"3.0 oz",19.0,,
"""23569""","Beef, ground, 85% lean meat / 15% fat, patty, cooked, pan-broiled",85.0,"3.0 oz",19.0,,
"""23567""","Beef, ground, 85% lean meat / 15% fat, raw",85.0,"3.0 oz",19.0,,
"""23220""","Beef, ground, unspecified fat content, cooked",85.0,"3.0 oz",19.0,,
"""13910""","Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",85.0,"3.0 oz",19.0,,
"""13840""","Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",85.0,"3.0 oz",19.0,,
"""13148""","Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",85.0,"3.0 oz",19.0,,
"""13851""","Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",85.0,"3.0 oz",19.0,,
"""13869""","Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",19.0,,
"""13872""","Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",85.0,"3.0 oz",19.0,,
"""13878""","Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",85.0,"3.0 oz",19.0,,
"""13884""","Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",85.0,"3.0 oz",19.0,,
"""13893""","Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",85.0,"3.0 oz",19.0,,
"""13892""","Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",19.0,,
"""13918""","Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",85.0,"3.0 oz",19.0,,
"""13930""","Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",85.0,"3.0 oz",19.0,,
"""13327""","Beef, variety meats and by-products, liver, cooked, pan-fried",81.0,"1.0 slice",4.0,,
"""07003""","Beerwurst, beer salami, pork",23.0,"1.0 slice (4"" dia x 1/8"" thick)",9.5,,
"""07002""","Beerwurst, beer salami, pork and beef",56.0,"2.0 oz",23.1,,
"""11084""","Beets, canned, drained solids",157.0,"1.0 cup, diced",41.3,,
"""11082""","Beets, canned, regular pack, solids and liquids",246.0,"1.0 cup",64.7,,
"""14021""","Beverages,  Energy drink, Citrus",240.0,"8.0 fl oz",0.0,,
"""14054""","Beverages, almond milk, chocolate, ready-to-drink",240.0,"8.0 fl oz",166.1,,
"""14250""","Beverages, AMBER, hard cider",355.0,"12.0 fl oz",149.8,,
"""14475""","Beverages, ARIZONA, tea, ready-to-drink, lemon",30.6,"1.0 fl oz",37.6,,
"""14400""","Beverages, carbonated, cola, fast-food cola",258.0,"1.0 serving child 12 fl oz, without ice",147.1,,
"""14142""","Beverages, carbonated, grape soda",31.0,"1.0 fl oz",26.8,,
"""14416""","Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",29.6,"1.0 fl oz",17.7,,
"""14146""","Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine",29.6,"1.0 fl oz",15.4,,
"""14150""","Beverages, carbonated, orange",31.0,"1.0 fl oz",25.0,,
"""14157""","Beverages, carbonated, root beer",30.8,"1.0 fl oz",21.9,,
"""14145""","Beverages, carbonated, SPRITE, lemon-lime, without caffeine",30.8,"1.0 fl oz",17.2,,
"""14155""","Beverages, carbonated, tonic water",30.5,"1.0 fl oz",25.2,,
"""14263""","Beverages, citrus fruit juice drink, frozen concentrate, prepared with water",31.0,"1.0 fl oz",15.8,,
"""14461""","Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",30.5,"1.0 fl oz",18.9,,
"""44203""","Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",36.0,"1.0 fl oz",6.1,,
"""14194""","Beverages, Cocoa mix, powder, prepared with water",34.3,"1.0 fl oz",21.1,,
"""14390""","Beverages, cocoa mix, with aspartame, powder, prepared with water",32.1,"1.0 fl oz",21.1,,
"""14209""","Beverages, coffee, brewed, prepared with tap water",29.6,"1.0 fl oz",26.8,,
"""14201""","Beverages, coffee, brewed, prepared with tap water, decaffeinated",29.6,"1.0 fl oz",15.5,,
"""14219""","Beverages, coffee, instant, decaffeinated, prepared with water",29.9,"1.0 fl oz",21.1,,
"""14238""","Beverages, cranberry-apple juice drink, bottled",30.6,"1.0 fl oz",25.3,,
"""43404""","Beverages, cranberry-apple juice drink, low calorie, with vitamin C added",240.0,"1.0 cup (8 fl oz)",168.2,,
"""14241""","Beverages, cranberry-grape juice drink, bottled",30.6,"1.0 fl oz",19.9,,
"""14423""","Beverages, dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice",243.0,"1.0 serving",158.0,,
"""14636""","Beverages, fruit juice drink, reduced sugar, with vitamin E added",209.0,"1.0 container",147.8,,
"""14264""","Beverages, fruit punch drink, without added nutrients, canned",210.0,"6.75 fl oz",112.6,,
"""14541""","Beverages, fruit punch-flavor drink, powder, without added sodium, prepared with water",32.7,"1.0 fl oz",21.0,,
"""14282""","Beverages, grape juice drink, canned",31.3,"1.0 fl oz",10.0,,
"""14543""","Beverages, lemonade, frozen concentrate, pink, prepared with water",30.9,"1.0 fl oz",17.1,,
"""14297""","Beverages, lemonade-flavor drink, powder, prepared with water",31.8,"1.0 fl oz",21.1,,
"""14476""","Beverages, LIPTON BRISK, tea, black, ready-to-drink, lemon",30.6,"1.0 fl oz",22.1,,
"""14119""","Beverages, Mixed vegetable and fruit juice drink, with added nutrients",247.0,"8.0 fl oz",30.1,,
"""14137""","Beverages, NESTEA, tea, black, ready-to-drink, lemon",30.6,"1.0 fl oz",27.5,,
"""14327""","Beverages, orange and apricot juice drink, canned",31.2,"1.0 fl oz",15.4,,
"""14427""","Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",31.3,"1.0 fl oz",15.8,,
"""42270""","Beverages, Orange juice drink",249.0,"1.0 cup",136.5,,
"""14407""","Beverages, orange-flavor drink, breakfast type, powder",26.0,"1.0 serving 2 tbsp",4.9,,
"""14408""","Beverages, orange-flavor drink, breakfast type, powder, prepared with water",33.9,"1.0 fl oz",21.9,,
"""14425""","Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate, prepared with water",31.0,"1.0 fl oz",15.8,,
"""14460""","Beverages, PEPSICO QUAKER, Gatorade, G performance O 2, ready-to-drink.",30.5,"1.0 fl oz",10.4,,
"""14334""","Beverages, pineapple and grapefruit juice drink, canned",31.3,"1.0 fl oz",15.4,,
"""14341""","Beverages, pineapple and orange juice drink, canned",31.3,"1.0 fl oz",15.4,,
"""14462""","Beverages, Propel Zero, fruit-flavored, non-carbonated",29.6,"1.0 fl oz",0.6,,
"""14355""","Beverages, tea, black, brewed, prepared with tap water",29.6,"1.0 fl oz",110.4,,
"""14370""","Beverages, tea, instant, lemon, sweetened, powder",23.0,"1.0 serving (3 heaping tsp)",134.3,,
"""14371""","Beverages, tea, instant, lemon, sweetened, prepared with water",259.0,"1.0 cup (8 fl oz)",299.9,,
"""14367""","Beverages, tea, instant, unsweetened, prepared with water",29.7,"1.0 fl oz",99.6,,
"""14434""","Beverages, The COCA-COLA company, DASANI, water, bottled, non-carbonated",29.6,"1.0 fl oz",2.0,,
"""14437""","Beverages, water, bottled, non-carbonated, CALISTOGA",29.6,"1.0 fl oz",2.2,,
"""14438""","Beverages, water, bottled, non-carbonated, CRYSTAL GEYSER",29.6,"1.0 fl oz",7.1,,
"""14432""","Beverages, water, bottled, non-carbonated, DANNON",29.6,"1.0 fl oz",3.2,,
"""14440""","Beverages, water, bottled, non-carbonated, DANNON Fluoride To Go",29.6,"1.0 fl oz",23.1,,
"""14559""","Beverages, water, bottled, non-carbonated, EVIAN",29.6,"1.0 fl oz",3.1,,
"""14433""","Beverages, water, bottled, non-carbonated, PEPSI, AQUAFINA",29.6,"1.0 fl oz",1.5,,
"""14384""","Beverages, water, bottled, PERRIER",29.6,"1.0 fl oz",9.2,,
"""14385""","Beverages, water, bottled, POLAND SPRING",29.6,"1.0 fl oz",3.0,,
"""14411""","Beverages, water, tap, drinking",29.6,"1.0 fl oz",21.1,,
"""14429""","Beverages, water, tap, municipal",29.6,"1.0 fl oz",24.0,,
"""14412""","Beverages, water, tap, well",29.6,"1.0 fl oz",7.6,,
"""18013""","Biscuits, plain or buttermilk, refrigerated dough, lower fat, baked",28.35,"1.0 oz",7.4,,
"""07006""","Bockwurst, pork, veal, raw",91.0,"1.0 sausage",1.3,,
"""07007""","Bologna, beef",30.0,"1.0 slice",10.8,,
"""07008""","Bologna, beef and pork",100.0,"3.527 oz",36.0,,
"""07960""","Bologna, chicken, pork",28.0,"1.0 serving",10.1,,
"""07959""","Bologna, chicken, pork, beef",28.0,"1.0 serving",10.1,,
"""07952""","Bologna, chicken, turkey, pork",28.0,"1.0 serving",10.1,,
"""07010""","Bologna, pork",28.0,"1.0 slice, medium (4-1/2"" dia x 1/8"" thick) (1 oz)",10.1,,
"""07937""","Bologna, pork, turkey and beef",28.35,"1.0 oz",10.2,,
"""07011""","Bologna, turkey",28.0,"0.99 oz 1 serving",10.1,,
"""18082""","Bread stuffing, bread, dry mix, prepared",28.35,"1.0 oz",14.1,,
"""18060""","Bread, rye",28.35,"1.0 oz",14.5,,
"""18069""","Bread, white, commercially prepared (includes soft bread crumbs)",29.0,"1.0 slice",14.2,,
"""11742""","Broccoli, cooked, boiled, drained, with salt",78.0,"0.5 cup, chopped",3.1,,
"""11091""","Broccoli, cooked, boiled, drained, without salt",78.0,"0.5 cup, chopped",3.1,,
"""01001""","Butter, salted",5.0,"1.0 pat (1"" sq, 1/3"" high)",0.1,,
"""01002""","Butter, whipped, with salt",3.8,"1.0 pat (1"" sq, 1/3"" high)",0.1,,
"""01145""","Butter, without salt",5.0,"1.0 pat (1"" sq, 1/3"" high)",0.1,,
"""11751""","Cabbage, common, cooked, boiled, drained, with salt",75.0,"0.5 cup, shredded",0.8,,
"""11110""","Cabbage, cooked, boiled, drained, without salt",75.0,"0.5 cup, shredded",0.8,,
"""11109""","Cabbage, raw",89.0,"1.0 cup, chopped",0.9,,
"""19074""","Candies, caramels",71.0,"1.0 package (2.5 oz)",19.2,,
"""19919""","Candies, fruit snacks, with high vitamin C",44.0,"1.0 serving",0.2,,
"""19136""","Candies, HERSHEY'S SKOR Toffee Bar",39.0,"1.0 bar 1.4 oz",0.0,,
"""19914""","Candies, M & M MARS 3 MUSKETEERS Truffle Crisp",31.0,"1.0 serving",1.2,,
"""19917""","Candies, M & M MARS Pretzel Chocolate Candies",40.0,"0.25 cup",0.8,,
"""19141""","Candies, MARS SNACKFOOD US, M & M's Milk Chocolate Candies",48.0,"1.0 package (1.69 oz)",8.4,,
"""19155""","Candies, MARS SNACKFOOD US, SNICKERS Bar",57.0,"1.0 bar (2 oz)",20.7,,
"""19120""","Candies, milk chocolate",7.0,"1.0 bar, miniature",0.4,,
"""19134""","Candies, milk chocolate, with rice cereal",40.0,"1.0 bar (1.4 oz)",2.0,,
"""19913""","Candies, NESTLE, BUTTERFINGER Crisp",60.0,"1.0 piece",0.0,,
"""19001""","Candies, TOBLERONE, milk chocolate with honey and almond nougat",35.0,"1.0 bar",1.2,,
"""14130""","Carbonated beverage, cream soda",30.9,"1.0 fl oz",10.8,,
"""11757""","Carrots, cooked, boiled, drained, with salt",9.7,"1.0 tbsp",4.6,,
"""11125""","Carrots, cooked, boiled, drained, without salt",9.7,"1.0 tbsp",4.6,,
"""11124""","Carrots, raw",128.0,"1.0 cup chopped",4.1,,
"""11935""","Catsup",17.0,"1.0 tbsp",2.6,,
"""11761""","Cauliflower, cooked, boiled, drained, with salt",62.0,"0.5 cup (1"" pieces)",0.6,,
"""11135""","Cauliflower, raw",107.0,"1.0 cup chopped (1/2"" pieces)",1.1,,
"""11143""","Celery, raw",101.0,"1.0 cup chopped",4.0,,
"""08571""","Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",55.0,"0.75 cup (1 NLEA serving)",5.5,,
"""08156""","Cereals ready-to-eat, rice, puffed, fortified",14.0,"1.0 cup",2.7,,
"""08157""","Cereals ready-to-eat, wheat, puffed, fortified",12.0,"1.0 cup",3.2,,
"""08161""","Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",257.0,"1.0 cup",143.9,,
"""08169""","Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with salt",251.0,"1.0 cup (1 serving)",237.4,,
"""08103""","Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, without salt",251.0,"1.0 cup (1 serving)",234.4,,
"""08173""","Cereals, farina, enriched, cooked with water, with salt",233.0,"1.0 cup",118.1,,
"""08113""","Cereals, farina, enriched, cooked with water, without salt",240.0,"1.0 cup",121.7,,
"""08180""","Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt",234.0,"1.0 cup",167.5,,
"""08121""","Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",234.0,"1.0 cup",167.5,,
"""01046""","Cheese food, pasteurized process, American, vitamin D fortified",113.0,"1.0 cup",39.6,,
"""01254""","Cheese food, pasteurized process, American, without added vitamin D",113.0,"1.0 cup",39.6,,
"""01048""","Cheese spread, pasteurized process, American",140.0,"1.0 cup, diced",49.0,,
"""01009""","Cheese, cheddar",132.0,"1.0 cup, diced",46.1,,
"""01012""","Cheese, cottage, creamed, large or small curd",113.0,"4.0 oz",35.7,,
"""01013""","Cheese, cottage, creamed, with fruit",113.0,"4.0 oz",35.7,,
"""01016""","Cheese, cottage, lowfat, 1% milkfat",113.0,"4.0 oz",35.7,,
"""01014""","Cheese, cottage, nonfat, uncreamed, dry, large or small curd",145.0,"1.0 cup (not packed)",45.8,,
"""01168""","Cheese, low fat, cheddar or colby",132.0,"1.0 cup, diced",46.1,,
"""01169""","Cheese, low-sodium, cheddar or colby",132.0,"1.0 cup, diced",46.1,,
"""01251""","Cheese, Mexican blend",28.0,"0.25 cup shredded",2.4,,
"""01042""","Cheese, pasteurized process, American, fortified with vitamin D",28.35,"1.0 oz",9.9,,
"""01253""","Cheese, pasteurized process, American, without added vitamin D",28.35,"1.0 oz",9.9,,
"""07016""","Cheesefurter, cheese smokie, pork, beef",100.0,"2.33 links",11.2,,
"""09070""","Cherries, sweet, raw",138.0,"1.0 cup, with pits, yields",2.8,,
"""19163""","Chewing gum",3.0,"1.0 stick",0.2,,
"""05007""","Chicken, broilers or fryers, meat and skin, cooked, fried, batter",85.0,"3.0 oz",12.5,,
"""05008""","Chicken, broilers or fryers, meat and skin, cooked, fried, flour",85.0,"3.0 oz",12.5,,
"""05009""","Chicken, broilers or fryers, meat and skin, cooked, roasted",140.0,"1.0 cup, chopped or diced",20.6,,
"""05136""","Chicken, capons, meat and skin, cooked, roasted",85.0,"3.0 oz",12.5,,
"""05308""","Chicken, cornish game hens, meat and skin, cooked, roasted",85.0,"3.0 oz",12.5,,
"""05112""","Chicken, roasting, meat and skin, cooked, roasted",85.0,"3.0 oz",12.5,,
"""18108""","Coffeecake, cinnamon with crumb topping, dry mix, prepared",28.35,"1.0 oz",0.3,,
"""18184""","Cookies, oatmeal, prepared from recipe, with raisins",28.35,"1.0 oz",19.6,,
"""18209""","Cookies, sugar wafers with creme filling, regular",36.0,"3.0 cookies",0.0,,
"""11906""","Corn, sweet, white, canned, cream style, regular pack",256.0,"1.0 cup",71.7,,
"""11903""","Corn, sweet, white, canned, whole kernel, regular pack, solids and liquids",256.0,"1.0 cup",46.1,,
"""11910""","Corn, sweet, white, frozen, kernels cut off cob, unprepared",165.0,"1.0 cup",24.1,,
"""11170""","Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",256.0,"1.0 cup",46.1,,
"""11174""","Corn, sweet, yellow, canned, cream style, regular pack",256.0,"1.0 cup",71.7,,
"""11771""","Corn, sweet, yellow, canned, no salt added, solids and liquids",256.0,"1.0 cup",46.1,,
"""11178""","Corn, sweet, yellow, frozen, kernels cut off cob, unprepared",136.0,"1.0 cup",19.9,,
